postTitle,postDescription,text
Mahabir Pun is at National Innovation Center.,,Aru hos nahos kaka ko sadhai Jai hoss 🙏💚🙏
Mahabir Pun is at National Innovation Center.,,"Garxa hou hajurba, tension na Linus na, ali time laagla."
Mahabir Pun is at National Innovation Center.,,100% Saho ho dai🙏🙏🙏🇳🇵❤️❤️
Mahabir Pun is at National Innovation Center.,,Hami pani herdai xau
Mahabir Pun is at National Innovation Center.,,Ekdam sahi kura
Mahabir Pun is at National Innovation Center.,,Yo le balla doleyo yopani thag ho
Mahabir Pun is at National Innovation Center.,,Rojgar Ko srijana garnu ra student harulai part time job Ko pani srijana garnu parxa ra aafule kam gare paxi tyo anusar Ko salary pani paunu parxa Nepal ma hamro kalilo bachcha harulai kam lagaune ani paisa nadine ekdum common vaisakyo mari mari kam garyo paisa suko nadine binakaran kam bat nikalne paisa dinu parxa vaner mero xori le kam gareko ek paisa diyena yesto lai pani karbahi garnu parxa
Mahabir Pun is at National Innovation Center.,,Bujhnu hunx baje don't worry ahile PM Le chinta nagarnus
Mahabir Pun is at National Innovation Center.,,"Hunxa kaka but vayena vne tyai ho pahile ko 35 barsa le nagareko ahile 5 barsa tmi haru lai sabai chahiyo vanxan ani katha sakiyo😀😀
Khair tyasto nahos ra navanos😀😀"
Mahabir Pun is at National Innovation Center.,,Agadi nai gayera vanna parao
Mahabir Pun is at National Innovation Center.,,Chaat kaat auula jasto chaina  baru aru idea lagayaa kaso hola. Yeso idea chaiyaama free ma samparka garnu hola 🙏🙏🇳🇵🇳🇵
Mahabir Pun is at National Innovation Center.,,class nai linu paro kaka ava sunenan kasaile pani
Mahabir Pun is at National Innovation Center.,,Mahabir Pun  kaka hunxa bistrai hunxa sab thok
Mahabir Pun is at National Innovation Center.,,Timi Sancho vako vaye sunni tiyo Nepal Kai number one joker pareu Ani kos le sunne budo zen_g 😆
Mahabir Pun is at National Innovation Center.,,Hami aam jantale ta bujhekai xam
Mahabir Pun is at National Innovation Center.,,GB rai leunu nasakne sarkar le khoi desh ma shabirdi leuxa vnnu 72-72 gardim uncle 😂😂😂
Mahabir Pun is at National Innovation Center.,,Garib lai dekhna nasakne garib ko pida bujhdain aaileko sarkar le
Mahabir Pun is at National Innovation Center.,,Same here! PhD sakepa6i   Nepal aaera Research garna man 6 Hamlai ni ! Aafnai jadibuti ma !
Mahabir Pun is at National Innovation Center.,,Sahi kura ho
Mahabir Pun is at National Innovation Center.,,"1,2 barsa yo kutantra ko safai garna dinus sir tes paxi hajurko kura pani sambhav hola. Hajurko kura akdum thik ra jayej xa tara aile lai dharya gardinus na   🙏🏼🙏🏼"
Mahabir Pun is at National Innovation Center.,,Yo sarkar le garnu hunx hola manya jiu
Mahabir Pun is at National Innovation Center.,,Samsad nai baseko chhaina k samsad ma kura rakhnu? Ani status ta PM Balen le pani lekhchhan ni ! Uhako postma sadhai like ani good comment garne haru Mahabir sir lai chai kina status lekheko bhanera bhanne !?Ani bheterai bhannus re ! bhetna testo sajilo hune ani ramrari kura suneko bhaye aile uhale post garnuhunthyo ta ? Uhale samsad ma paila pani rakhnu bhako ho ni yo kura. First samsad ko video hernu ta purai PM Balen ani sabai mananiya haruko agadi. Ani khai ta result? Tesaile uhale jhakjhakai rahanu bhayeko ho. Uhalai bolna dinus 🙏 Uhale sabai Nepal ra Nepaliko ramro ko lagi bolirahanu bhayeko chha.
Mahabir Pun is at National Innovation Center.,,Manasiv kura sir ko
Mahabir Pun is at National Innovation Center.,,Yo vandapani manabta harayeko jasto lagxa. Anekow jaat dharma ko adharma bargikaran garidiyo.
Mahabir Pun is at National Innovation Center.,,Uha ek Engineer  ￼vako le sayad yo pani garnu hunxa vanne hamile purna aasha liyko chhau
Mahabir Pun is at National Innovation Center.,,Ho herna jaruri xa 🥹 5 barsa samma
Mahabir Pun is at National Innovation Center.,,Buda ko rish chai kada ho
