postTitle,postDescription,text,likesCount,facebookUrl
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"Balen is gentle
Harke is Joker",156,https://www.facebook.com/share/p/18JfnaJorD/
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"Harke Think चेली  is hitter 
Balen Think चेली is sister😀",74,https://www.facebook.com/share/p/18JfnaJorD/
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,Ajhoii 1 hat le chalau na 😆,0,https://www.facebook.com/share/p/18JfnaJorD/
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"Ho bhanya deu hai car Hamro Mananiya lai pani, chahiyo chahiyo.hoina bhane khisiteuri garna paaidaina.",7,https://www.facebook.com/share/p/18JfnaJorD/
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,Bike chalauda koley ek haatt maa mobile samatera vlog gara bhanyo ta?,1,https://www.facebook.com/share/p/18JfnaJorD/
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,Harka sir lai private jet.🤣🤣🤣,0,https://www.facebook.com/share/p/18JfnaJorD/
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,Auto riksa milx toh goru khali birod garya xa goru 😜😜😜,1,https://www.facebook.com/share/p/18JfnaJorD/
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,Ayo ayo harke haldar 🤣,0,https://www.facebook.com/share/p/18JfnaJorD/
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,Stunt le garda ho,0,https://www.facebook.com/share/p/18JfnaJorD/
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"Helicopter 🚁 Magnus na sir ,,
Rato rang KO 😂",1,https://www.facebook.com/share/p/18JfnaJorD/
